HaploidChromosomeNum = 10
RandomSeed = 0.2
Pop1AvgAlleleFreq = 1
Pop1AvgAlleleFreqStdev = 0
Pop2AvgAlleleFreq = 1
Pop2AvgAlleleFreqStdev = 0
:chr 1	len = 2.5e+07	centromere = 2.5e+07

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	6.59334e-05	1648.34	1	0
2	0.0032637	81592.6	1	0
3	0.00459418	114855	1	0
4	0.00532754	133188	1	0
5	0.00670568	167642	1	0
6	0.00697989	174497	1	0
7	0.00942728	235682	1	0
8	0.0102609	256521	1	0
9	0.0118679	296699	1	0
10	0.012312	307800	1	0
11	0.0127163	317907	1	0
12	0.0130988	327469	1	0
13	0.0131165	327912	1	0
14	0.0131849	329622	1	0
15	0.013213	330326	1	0
16	0.0132361	330903	1	0
17	0.0154255	385639	1	0
18	0.016907	422675	1	0
19	0.0215822	539554	1	0
20	0.0256256	640641	1	0
21	0.0264287	660717	1	0
22	0.0268626	671565	1	0
23	0.0276702	691756	1	0
24	0.0278254	695635	1	0
25	0.0282714	706785	1	0
26	0.0297988	744970	1	0
27	0.0303466	758665	1	0
28	0.0328609	821523	1	0
29	0.0336003	840006	1	0
30	0.0351677	879192	1	0
31	0.0358717	896792	1	0
32	0.0365494	913735	1	0
33	0.0381388	953469	1	0
34	0.038904	972601	1	0
35	0.0397909	994771	1	0
36	0.0436269	1.09067e+06	1	0
37	0.0449099	1.12275e+06	1	0
38	0.0450468	1.12617e+06	1	0
39	0.045317	1.13293e+06	1	0
40	0.0454593	1.13648e+06	1	0
41	0.0463431	1.15858e+06	1	0
42	0.0477567	1.19392e+06	1	0
43	0.0490062	1.22515e+06	1	0
44	0.0493737	1.23434e+06	1	0
45	0.0512694	1.28173e+06	1	0
46	0.0514137	1.28534e+06	1	0
47	0.0527011	1.31753e+06	1	0
48	0.0538645	1.34661e+06	1	0
49	0.0549628	1.37407e+06	1	0
50	0.0551665	1.37916e+06	1	0
51	0.055613	1.39033e+06	1	0
52	0.0583054	1.45764e+06	1	0
